Index;sexe;Tranche Age;enfant_conduite_accompagne;enfants;Tranche Revenu;formation;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande;formule;Tranche Tarifaire ;code postal
149;F;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Masters;Private;Minivan;Faible;15.0;Highly Rural/ Rural;26/02/2022 20:58;dev_express;Basse;71400
150;M;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;High School;Private;Minivan;Faible;10.0;Highly Urban/ Urban;19/02/2022 07:35;dev_integral;Moyenne;42300
151;F;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Private;SUV;Moyen;5.0;Highly Urban/ Urban;05/03/2022 12:14;dev_express;Basse;46100
152;F;Adulte : 25-64 ans;Aucun;VRAI;Non connu;PhD;Private;Minivan;Moyen;1.0;Highly Urban/ Urban;11/01/2022 23:53;dev_express;Basse;35590
153;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;Minivan;Faible;4.0;Highly Urban/ Urban;25/03/2022 21:08;dev_express;Basse;80400
154;F;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Commercial;Pickup;Faible;9.0;Highly Rural/ Rural;22/02/2022 18:20;dev_integral;Basse;91100
155;M;Senior : 65 ans et plus;Plusieurs;VRAI;>120K;PhD;Commercial;Van;Faible;12.0;Highly Urban/ Urban;14/01/2022 04:38;dev_integral;Moyenne;35300
156;F;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Private;Sports Car;Moyen;4.0;Highly Urban/ Urban;08/04/2022 21:31;dev_express;Basse;81000
157;M;Senior : 65 ans et plus;Aucun;FAUX;[60K - 80K[;Masters;Private;Pickup;Faible;15.0;Highly Urban/ Urban;17/04/2022 13:11;dev_integral;Moyenne;28700
158;M;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Bachelors;Commercial;Minivan;Faible;9.0;Highly Rural/ Rural;14/05/2022 20:36;dev_integral;Moyenne;49000
159;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;High School;Commercial;SUV;Moyen;1.0;Highly Urban/ Urban;02/02/2022 00:42;dev_integral;Basse;66000
160;M;Senior : 65 ans et plus;Un;VRAI;[80K - 120K[;Bachelors;Private;Sports Car;Faible;8.0;Highly Urban/ Urban;21/05/2022 22:35;dev_integral;Basse;95610
161;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Bachelors;Private;SUV;Moyen;12.0;Highly Urban/ Urban;09/03/2022 16:06;dev_premium;Moyenne;24100
162;F;Adulte : 25-64 ans;Plusieurs;VRAI;>120K;Masters;Private;Minivan;Faible;12.0;Highly Rural/ Rural;27/02/2022 09:10;dev_integral;Moyenne;70100
163;F;Senior : 65 ans et plus;Aucun;VRAI;[40K - 60K[;Masters;Private;Minivan;Faible;14.0;Highly Urban/ Urban;03/04/2022 03:15;dev_integral;Moyenne;44320
164;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;Bachelors;Private;Sports Car;Faible;8.0;Highly Rural/ Rural;02/04/2022 11:55;dev_express;Basse;66370
165;F;Adulte : 25-64 ans;Un;VRAI;[0 - 40K[;High School;Private;Minivan;Faible;1.0;Highly Urban/ Urban;08/04/2022 07:47;dev_express;Basse;24100
166;F;Senior : 65 ans et plus;Aucun;VRAI;[60K - 80K[;Masters;Private;Sports Car;Faible;17.0;Highly Urban/ Urban;31/05/2022 15:46;dev_integral;Basse;33000
167;F;Jeune : moins de 25 ans;Aucun;VRAI;[40K - 60K[;High School;Commercial;Pickup;Faible;4.0;Highly Urban/ Urban;16/05/2022 17:40;dev_integral;Basse;59290
168;F;Adulte : 25-64 ans;Aucun;FAUX;>120K;Masters;Commercial;Panel Truck;Faible;;Highly Urban/ Urban;22/04/2022 13:14;dev_integral;Basse;14400
169;F;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Commercial;SUV;Moyen;11.0;Highly Urban/ Urban;30/05/2022 08:43;dev_integral;Moyenne;92110
170;M;Adulte : 25-64 ans;Aucun;VRAI;[60K - 80K[;Bachelors;Private;Pickup;Faible;11.0;Highly Urban/ Urban;01/02/2022 00:03;dev_express;Basse;25000
171;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;Minivan;Moyen;1.0;Highly Urban/ Urban;31/05/2022 16:23;dev_integral;Moyenne;4370
172;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Bachelors;Commercial;Minivan;Faible;11.0;Highly Rural/ Rural;16/02/2022 07:07;dev_integral;Moyenne;34400
173;F;Adulte : 25-64 ans;Aucun;VRAI;[60K - 80K[;PhD;Private;Minivan;Faible;20.0;Highly Urban/ Urban;21/05/2022 22:01;dev_integral;Moyenne;90100
174;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;SUV;Moyen;1.0;Highly Urban/ Urban;26/04/2022 15:07;dev_express;Basse;42800
175;M;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Masters;Commercial;Pickup;Moyen;;Highly Urban/ Urban;14/01/2022 19:18;dev_integral;Basse;11220
176;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;Van;Faible;12.0;Highly Urban/ Urban;16/02/2022 23:39;dev_express;Basse;62217
177;M;Adulte : 25-64 ans;Aucun;FAUX;Non connu;Masters;Private;Sports Car;Faible;16.0;Highly Urban/ Urban;01/01/2022 22:26;dev_express;Basse;14220
178;M;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Faible;1.0;Highly Rural/ Rural;14/01/2022 11:21;dev_integral;Basse;26000
179;F;Adulte : 25-64 ans;Aucun;VRAI;[40K - 60K[;High School;Commercial;Van;Faible;6.0;Highly Urban/ Urban;10/05/2022 08:25;dev_premium;Moyenne;7700
180;F;Senior : 65 ans et plus;Aucun;FAUX;[60K - 80K[;Bachelors;Commercial;Pickup;Faible;;Highly Urban/ Urban;02/05/2022 22:21;dev_express;Basse;13080
181;F;Jeune : moins de 25 ans;Plusieurs;VRAI;[0 - 40K[;High School;Commercial;Van;Faible;6.0;Highly Rural/ Rural;10/02/2022 04:16;dev_express;Basse;56340
182;M;Adulte : 25-64 ans;Aucun;FAUX;>120K;Bachelors;Commercial;Panel Truck;Faible;13.0;Highly Rural/ Rural;08/01/2022 11:44;dev_integral;Moyenne;16120
183;F;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;PhD;Private;Van;Faible;10.0;Highly Urban/ Urban;12/01/2022 23:08;dev_premium;Moyenne;64000
184;F;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Private;Pickup;Faible;1.0;Highly Urban/ Urban;27/05/2022 23:47;dev_express;Basse;
185;M;Jeune : moins de 25 ans;Plusieurs;VRAI;[40K - 60K[;High School;Commercial;SUV;Moyen;5.0;Highly Urban/ Urban;10/04/2022 22:38;dev_premium;Moyenne;27130
186;F;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Private;SUV;Faible;1.0;Highly Urban/ Urban;23/03/2022 18:01;dev_integral;Moyenne;59142
187;F;Jeune : moins de 25 ans;Aucun;VRAI;[0 - 40K[;Masters;Private;SUV;Faible;9.0;Highly Urban/ Urban;24/05/2022 20:26;dev_integral;Moyenne;3310
188;F;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Private;SUV;Faible;1.0;Highly Urban/ Urban;05/01/2022 12:35;dev_premium;Moyenne;28000
189;F;Jeune : moins de 25 ans;Aucun;FAUX;[80K - 120K[;Bachelors;Private;Minivan;Faible;11.0;Highly Urban/ Urban;17/05/2022 21:03;dev_vip;Moyenne;79500
190;M;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;Masters;Commercial;Van;Moyen;;Highly Urban/ Urban;30/05/2022 12:05;dev_express;Basse;6510
191;M;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;High School;Private;Sports Car;Moyen;1.0;Highly Urban/ Urban;25/01/2022 11:38;dev_premium;Moyenne;35000
192;F;Senior : 65 ans et plus;Aucun;FAUX;>120K;Masters;Private;Sports Car;Faible;7.0;Highly Rural/ Rural;30/01/2022 11:59;dev_integral;Moyenne;51300
193;F;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;High School;Commercial;Panel Truck;Faible;1.0;Highly Urban/ Urban;04/01/2022 16:07;dev_premium;Moyenne;13080
194;F;Adulte : 25-64 ans;Aucun;FAUX;>120K;Masters;Private;SUV;Faible;15.0;Highly Urban/ Urban;11/02/2022 19:58;dev_integral;Moyenne;93100
195;F;Senior : 65 ans et plus;Aucun;VRAI;[40K - 60K[;Bachelors;Private;Sports Car;Moyen;7.0;Highly Urban/ Urban;07/04/2022 02:19;dev_premium;Moyenne;39000
196;F;Adulte : 25-64 ans;Aucun;VRAI;[40K - 60K[;PhD;Private;Minivan;Moyen;17.0;Highly Urban/ Urban;09/02/2022 23:54;dev_express;Basse;28300
197;M;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Bachelors;Commercial;Panel Truck;Moyen;13.0;Highly Urban/ Urban;27/04/2022 04:09;dev_express;Basse;48000
198;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Faible;4.0;Highly Urban/ Urban;25/05/2022 06:02;dev_integral;Moyenne;25200
199;F;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Commercial;Minivan;Faible;;Highly Rural/ Rural;10/02/2022 21:22;dev_express;Basse;84160
200;M;Jeune : moins de 25 ans;Aucun;FAUX;[40K - 60K[;High School;Private;Sports Car;Elevé;8.0;Highly Urban/ Urban;14/03/2022 03:24;dev_express;Basse;42680
201;M;Senior : 65 ans et plus;Aucun;FAUX;[60K - 80K[;High School;Commercial;Pickup;Moyen;7.0;Highly Urban/ Urban;11/05/2022 10:53;dev_integral;Moyenne;37800
202;M;Adulte : 25-64 ans;Un;VRAI;[40K - 60K[;High School;Commercial;Minivan;Faible;1.0;Highly Urban/ Urban;09/04/2022 06:44;dev_premium;Moyenne;9500
203;F;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;Bachelors;Commercial;SUV;Moyen;14.0;Highly Rural/ Rural;14/04/2022 10:57;dev_premium;Moyenne;27310
204;M;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Private;Sports Car;Moyen;7.0;Highly Urban/ Urban;18/04/2022 10:41;dev_express;Basse;80430
205;M;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;High School;Commercial;Minivan;Faible;1.0;Highly Urban/ Urban;23/03/2022 00:19;dev_express;Basse;4800
206;M;Senior : 65 ans et plus;Aucun;FAUX;[60K - 80K[;Bachelors;Commercial;Minivan;Moyen;;Highly Urban/ Urban;09/05/2022 19:49;dev_integral;Moyenne;51000
207;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;Bachelors;Private;Minivan;Faible;12.0;Highly Rural/ Rural;04/02/2022 03:00;dev_express;Basse;52100
208;M;Adulte : 25-64 ans;Un;VRAI;[0 - 40K[;High School;Commercial;Panel Truck;Faible;8.0;Highly Urban/ Urban;19/04/2022 01:02;dev_premium;Moyenne;20000
209;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Faible;5.0;Highly Rural/ Rural;03/04/2022 22:13;dev_integral;Moyenne;91390
210;F;Jeune : moins de 25 ans;Un;VRAI;[40K - 60K[;Bachelors;Private;Minivan;Faible;8.0;Highly Rural/ Rural;18/01/2022 05:21;dev_integral;Basse;24130
211;F;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;PhD;Commercial;Panel Truck;Faible;16.0;Highly Urban/ Urban;23/03/2022 16:17;dev_express;Basse;1190
212;F;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;PhD;Private;SUV;Faible;;Highly Urban/ Urban;02/05/2022 16:43;dev_integral;Basse;58490
213;F;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;Bachelors;Commercial;Van;Faible;5.0;Highly Urban/ Urban;19/01/2022 00:38;dev_express;Basse;9100
214;M;Adulte : 25-64 ans;Aucun;VRAI;[40K - 60K[;High School;Commercial;Van;Moyen;;Highly Urban/ Urban;15/02/2022 23:41;dev_integral;Basse;47300
215;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Masters;Private;SUV;Faible;13.0;Highly Urban/ Urban;03/01/2022 06:55;dev_premium;Moyenne;56860
216;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Private;Pickup;Moyen;6.0;Highly Urban/ Urban;27/03/2022 02:40;dev_express;Basse;1000
217;F;Jeune : moins de 25 ans;Aucun;FAUX;[60K - 80K[;Masters;Private;SUV;Elevé;19.0;Highly Urban/ Urban;02/04/2022 14:20;dev_premium;Moyenne;92250
218;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;Sports Car;Faible;1.0;Highly Urban/ Urban;30/04/2022 22:44;dev_premium;Moyenne;82100
219;M;Senior : 65 ans et plus;Un;VRAI;[0 - 40K[;High School;Private;Minivan;Faible;1.0;Highly Rural/ Rural;07/04/2022 11:09;dev_integral;Moyenne;40600
220;M;Senior : 65 ans et plus;Aucun;VRAI;[80K - 120K[;PhD;Private;Sports Car;Faible;16.0;Highly Urban/ Urban;22/01/2022 06:45;dev_integral;Moyenne;68270
221;M;Senior : 65 ans et plus;Un;VRAI;Non connu;PhD;Commercial;Pickup;Faible;18.0;Highly Rural/ Rural;07/05/2022 03:05;dev_integral;Moyenne;93100
222;F;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Private;SUV;Moyen;3.0;Highly Urban/ Urban;07/01/2022 07:53;dev_premium;Moyenne;23210
223;F;Jeune : moins de 25 ans;Aucun;VRAI;[80K - 120K[;Bachelors;Commercial;SUV;Moyen;5.0;Highly Urban/ Urban;05/01/2022 18:21;dev_integral;Moyenne;41700
224;F;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;Bachelors;Commercial;Minivan;Faible;1.0;Highly Urban/ Urban;13/05/2022 15:01;dev_integral;Moyenne;79000
225;M;Adulte : 25-64 ans;Aucun;FAUX;>120K;Bachelors;Private;Minivan;Moyen;10.0;Highly Urban/ Urban;11/05/2022 05:29;dev_express;Basse;30129
226;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;Bachelors;Private;SUV;Moyen;9.0;Highly Urban/ Urban;29/03/2022 05:23;dev_integral;Moyenne;74500
227;M;Jeune : moins de 25 ans;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Faible;3.0;Highly Rural/ Rural;12/02/2022 09:30;dev_premium;Moyenne;12800
228;F;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Private;Minivan;Faible;1.0;Highly Urban/ Urban;18/03/2022 03:20;dev_premium;Moyenne;59495
229;F;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Private;Pickup;Moyen;1.0;Highly Urban/ Urban;25/01/2022 12:09;dev_express;Basse;9000
230;F;Jeune : moins de 25 ans;Aucun;FAUX;[40K - 60K[;High School;Private;SUV;Moyen;;Highly Urban/ Urban;11/05/2022 03:18;dev_express;Basse;11000
231;M;Jeune : moins de 25 ans;Plusieurs;VRAI;[60K - 80K[;Bachelors;Private;Minivan;Faible;7.0;Highly Urban/ Urban;04/05/2022 06:00;dev_express;Basse;59580
232;F;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;PhD;Private;Minivan;Moyen;;Highly Urban/ Urban;22/01/2022 22:28;dev_express;Basse;18160
233;F;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Commercial;SUV;Moyen;10.0;Highly Urban/ Urban;06/01/2022 14:38;dev_express;Basse;51530
234;F;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Moyen;7.0;Highly Rural/ Rural;11/04/2022 02:23;dev_integral;Moyenne;24130
235;M;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;Masters;Private;Pickup;Faible;16.0;Highly Urban/ Urban;22/03/2022 21:40;dev_integral;Basse;91700
236;F;Adulte : 25-64 ans;Aucun;FAUX;>120K;PhD;Commercial;Panel Truck;Faible;15.0;Highly Urban/ Urban;31/03/2022 19:09;dev_premium;Moyenne;43220
237;F;Senior : 65 ans et plus;Aucun;FAUX;>120K;Masters;Private;SUV;Faible;15.0;Highly Urban/ Urban;09/03/2022 15:11;dev_integral;Basse;53410
238;M;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Moyen;1.0;Highly Urban/ Urban;07/05/2022 11:43;dev_integral;Basse;8000
239;F;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;PhD;Private;Minivan;Moyen;10.0;Highly Urban/ Urban;24/02/2022 02:03;dev_integral;Moyenne;63430
240;F;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;Masters;Private;Minivan;Faible;15.0;Highly Urban/ Urban;24/05/2022 09:47;dev_express;Basse;14123
241;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;High School;Commercial;SUV;Faible;7.0;Highly Urban/ Urban;25/02/2022 23:45;dev_express;Basse;26000
242;F;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;Bachelors;Commercial;Pickup;Faible;11.0;Highly Urban/ Urban;29/03/2022 07:38;dev_express;Basse;15210
243;F;Senior : 65 ans et plus;Un;VRAI;[60K - 80K[;Masters;Private;Sports Car;Moyen;12.0;Highly Urban/ Urban;10/05/2022 14:59;dev_express;Basse;87000
244;M;Jeune : moins de 25 ans;Aucun;VRAI;[40K - 60K[;High School;Private;SUV;Moyen;5.0;Highly Urban/ Urban;14/05/2022 19:19;dev_integral;Basse;38470
245;F;Senior : 65 ans et plus;Aucun;FAUX;Non connu;Bachelors;Private;Van;Moyen;12.0;Highly Urban/ Urban;19/01/2022 01:48;dev_integral;Basse;44620
246;M;Adulte : 25-64 ans;Plusieurs;VRAI;[60K - 80K[;High School;Commercial;Pickup;Faible;7.0;Highly Urban/ Urban;27/05/2022 14:41;dev_premium;Moyenne;65110
247;M;Jeune : moins de 25 ans;Aucun;VRAI;[0 - 40K[;High School;Commercial;Van;Faible;1.0;Highly Rural/ Rural;13/01/2022 11:51;dev_integral;Moyenne;38150
248;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;Pickup;Faible;10.0;Highly Urban/ Urban;08/04/2022 01:47;dev_integral;Moyenne;18800
249;F;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Masters;Private;Minivan;Moyen;15.0;Highly Urban/ Urban;26/04/2022 15:04;dev_integral;Basse;52000
250;M;Jeune : moins de 25 ans;Aucun;FAUX;[80K - 120K[;Masters;Private;SUV;Faible;20.0;Highly Urban/ Urban;30/01/2022 17:15;dev_integral;Moyenne;10450
251;F;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;High School;Commercial;SUV;Moyen;12.0;Highly Rural/ Rural;18/05/2022 05:21;dev_express;Basse;88000
252;M;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;Bachelors;Commercial;Minivan;Moyen;6.0;Highly Urban/ Urban;27/01/2022 08:09;dev_premium;Moyenne;16130
253;F;Adulte : 25-64 ans;Aucun;FAUX;>120K;Masters;Private;Van;Faible;18.0;Highly Urban/ Urban;13/02/2022 22:32;dev_express;Basse;90000
254;M;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;Masters;Private;Minivan;Faible;8.0;Highly Urban/ Urban;26/04/2022 23:23;dev_integral;Moyenne;89380
255;M;Adulte : 25-64 ans;Aucun;VRAI;[80K - 120K[;Bachelors;Commercial;Van;Moyen;;Highly Rural/ Rural;26/05/2022 00:20;dev_premium;Moyenne;3000
256;M;Adulte : 25-64 ans;Aucun;VRAI;Non connu;Masters;Private;Minivan;Faible;16.0;Highly Urban/ Urban;06/02/2022 07:26;dev_integral;Moyenne;94210
257;F;Jeune : moins de 25 ans;Un;VRAI;[0 - 40K[;High School;Private;Minivan;Faible;5.0;Highly Urban/ Urban;05/02/2022 06:43;dev_express;Basse;51000
258;F;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Private;Minivan;Faible;1.0;Highly Rural/ Rural;26/03/2022 06:02;dev_premium;Moyenne;84150
259;F;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;Bachelors;Commercial;Panel Truck;Moyen;10.0;Highly Urban/ Urban;14/02/2022 17:36;dev_express;Basse;9100
260;F;Jeune : moins de 25 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Commercial;Panel Truck;Moyen;8.0;Highly Urban/ Urban;17/04/2022 16:52;dev_integral;Moyenne;89300
261;F;Senior : 65 ans et plus;Aucun;VRAI;[80K - 120K[;Bachelors;Commercial;Van;Faible;9.0;Highly Urban/ Urban;12/02/2022 04:17;dev_express;Basse;25110
262;M;Jeune : moins de 25 ans;Aucun;FAUX;>120K;Masters;Commercial;Pickup;Faible;17.0;Highly Urban/ Urban;20/03/2022 21:08;dev_integral;Basse;34700
263;M;Jeune : moins de 25 ans;Aucun;FAUX;[80K - 120K[;Bachelors;Commercial;Van;Moyen;10.0;Highly Urban/ Urban;24/03/2022 00:32;dev_express;Basse;30400
264;M;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Private;SUV;Moyen;;Highly Urban/ Urban;28/05/2022 16:57;dev_integral;Moyenne;20240
265;M;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Private;SUV;Faible;7.0;Highly Urban/ Urban;27/04/2022 16:49;dev_integral;Moyenne;11170
266;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Bachelors;Private;SUV;Faible;1.0;Highly Rural/ Rural;28/01/2022 09:25;dev_premium;Moyenne;46090
267;M;Jeune : moins de 25 ans;Aucun;FAUX;>120K;PhD;Commercial;Panel Truck;Moyen;11.0;Highly Urban/ Urban;21/03/2022 10:05;dev_express;Basse;32000
268;F;Senior : 65 ans et plus;Aucun;FAUX;[60K - 80K[;Masters;Private;SUV;Faible;12.0;Highly Urban/ Urban;07/01/2022 09:45;dev_integral;Moyenne;23800
269;F;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Masters;Private;Minivan;Moyen;13.0;Highly Urban/ Urban;15/05/2022 03:11;dev_premium;Moyenne;2400
270;F;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;Bachelors;Commercial;Sports Car;Moyen;12.0;Highly Urban/ Urban;09/02/2022 14:04;dev_integral;Moyenne;29750
271;M;Senior : 65 ans et plus;Aucun;FAUX;>120K;PhD;Commercial;Pickup;Moyen;13.0;Highly Urban/ Urban;04/02/2022 16:41;dev_express;Basse;93200
272;F;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;High School;Commercial;Van;Moyen;8.0;Highly Urban/ Urban;30/04/2022 22:43;dev_integral;Moyenne;90150
273;M;Jeune : moins de 25 ans;Aucun;FAUX;[60K - 80K[;High School;Private;Van;Faible;1.0;Highly Urban/ Urban;06/01/2022 19:41;dev_express;Basse;39400
274;M;Adulte : 25-64 ans;Aucun;VRAI;[40K - 60K[;Bachelors;Private;SUV;Moyen;1.0;Highly Urban/ Urban;12/04/2022 12:00;dev_express;Basse;14000
275;F;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;PhD;Commercial;Panel Truck;Moyen;10.0;Highly Urban/ Urban;25/04/2022 16:57;dev_express;Basse;57160
276;M;Adulte : 25-64 ans;Plusieurs;VRAI;[80K - 120K[;Bachelors;Commercial;Pickup;Moyen;8.0;Highly Urban/ Urban;01/01/2022 07:42;dev_integral;Moyenne;
277;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;Pickup;Moyen;1.0;Highly Urban/ Urban;16/03/2022 12:46;dev_express;Basse;27570
278;M;Jeune : moins de 25 ans;Aucun;FAUX;>120K;Masters;Commercial;Panel Truck;Moyen;20.0;Highly Urban/ Urban;20/03/2022 11:43;dev_integral;Moyenne;22740
279;M;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;Bachelors;Private;SUV;Moyen;2.0;Highly Urban/ Urban;20/01/2022 09:01;dev_integral;Basse;64000
280;M;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;Masters;Private;Minivan;Faible;12.0;Highly Urban/ Urban;10/05/2022 05:21;dev_integral;Moyenne;10800
281;M;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;PhD;Private;Sports Car;Moyen;11.0;Highly Urban/ Urban;10/01/2022 01:26;dev_premium;Moyenne;62110
282;F;Jeune : moins de 25 ans;Aucun;FAUX;[60K - 80K[;High School;Private;Sports Car;Faible;12.0;Highly Rural/ Rural;28/03/2022 12:26;dev_integral;Moyenne;53500
283;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;Bachelors;Private;Minivan;Moyen;11.0;Highly Urban/ Urban;13/04/2022 14:44;dev_integral;Moyenne;87700
284;F;Senior : 65 ans et plus;Aucun;FAUX;[60K - 80K[;Bachelors;Private;SUV;Faible;1.0;Highly Urban/ Urban;21/02/2022 23:21;dev_integral;Moyenne;80300
285;F;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;High School;Private;Pickup;Moyen;1.0;Highly Urban/ Urban;15/01/2022 01:35;dev_integral;Moyenne;73000
286;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;Pickup;Faible;10.0;Highly Rural/ Rural;25/01/2022 15:18;dev_integral;Moyenne;39700
287;M;Senior : 65 ans et plus;Aucun;FAUX;Non connu;Bachelors;Private;Minivan;Moyen;7.0;Highly Urban/ Urban;18/01/2022 08:22;dev_integral;Moyenne;40390
288;F;Senior : 65 ans et plus;Aucun;FAUX;>120K;Masters;Commercial;Panel Truck;Faible;17.0;Highly Urban/ Urban;15/02/2022 23:56;dev_express;Basse;47310
289;M;Adulte : 25-64 ans;Aucun;VRAI;[60K - 80K[;Bachelors;Private;Pickup;Faible;14.0;Highly Urban/ Urban;27/01/2022 03:55;dev_premium;Moyenne;56800
290;M;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;High School;Private;Pickup;Moyen;9.0;Highly Urban/ Urban;18/03/2022 07:40;dev_express;Basse;83000
291;M;Jeune : moins de 25 ans;Aucun;FAUX;[40K - 60K[;High School;Private;Pickup;Faible;8.0;Highly Urban/ Urban;22/03/2022 07:46;dev_integral;Moyenne;87430
292;M;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;Masters;Private;Minivan;Moyen;;Highly Urban/ Urban;07/03/2022 03:55;dev_integral;Moyenne;56700
293;M;Jeune : moins de 25 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Commercial;Van;Faible;4.0;Highly Urban/ Urban;18/05/2022 22:10;dev_integral;Moyenne;3100
294;F;Jeune : moins de 25 ans;Aucun;VRAI;[0 - 40K[;Masters;Private;SUV;Faible;1.0;Highly Urban/ Urban;01/05/2022 17:43;dev_express;Basse;57700
295;F;Adulte : 25-64 ans;Aucun;VRAI;[80K - 120K[;Bachelors;Private;SUV;Faible;11.0;Highly Urban/ Urban;26/05/2022 22:40;dev_integral;Moyenne;32190
296;F;Jeune : moins de 25 ans;Aucun;FAUX;[40K - 60K[;High School;Private;SUV;Moyen;;Highly Urban/ Urban;23/04/2022 11:29;dev_premium;Moyenne;28220
297;F;Senior : 65 ans et plus;Un;VRAI;[80K - 120K[;Bachelors;Private;Minivan;Faible;11.0;Highly Urban/ Urban;27/02/2022 02:58;dev_express;Basse;93800
